Distances for WT-MD-openMPI_MD006.pdb
Frame Dist1_107 Dist107_208 Dist1_208
0 49.26566312125646 51.93082857655051 50.373614746934784
1 53.23881063963969 44.145499837612746 53.104110142342186
2 48.11081046509233 45.651110560015546 59.61463222258176
3 31.167265606388533 51.700577537905616 64.94036157957451
4 29.312235543240572 49.500677693144894 55.2350752118124
5 32.46406882455929 53.86670691071605 55.89823193793918
6 31.899911293072456 55.43724016168218 60.15841571413369
7 33.203365678184724 55.23270508609279 58.412281940835406
8 26.208914613554708 56.184269994893825 55.762763141492506
9 32.26706561016115 53.09296496757371 52.62378114748798
10 29.653239720396105 50.6932119243789 62.23832701353673
11 33.31188977407567 48.68728329081894 56.617635869483124
12 32.973168010106555 52.599032927469764 60.85220625660835
13 28.581150201786073 49.40703087373926 65.96366225179281
14 27.22826111926168 51.12041656983419 64.90212748359903
15 31.63891254136536 51.10179991461918 60.12670423024272
16 32.254805357222885 47.15329323775283 62.74768648812554
17 22.460917665325105 48.322205242986584 59.29513472360988
18 24.950846688744907 51.17316832224508 61.3570626254593
19 28.37122202365054 50.511921532036496 63.537256150228394
20 20.511026129237212 47.307423292279985 58.266489639160056
21 24.732922981503517 50.47609413077706 68.44401814720348
22 16.97215275449155 51.5635453043283 65.45186196693177
23 33.286597615650905 48.65712051388747 76.77410994867427
24 30.892531648669724 51.922810993518134 67.4761612601173
25 30.195842541144227 54.27057454784775 75.76797029131212
26 30.59632249423107 52.539481149974044 79.34592918687758
27 26.08127279671952 52.517082411672284 71.24865138499244
28 26.085948954328675 55.07311886318038 73.9112340366978
29 29.180745787823945 51.58067416635861 75.1893997807647
30 28.617120396017295 50.49690764695209 75.8909020708278
31 24.626412510170315 53.92390990216324 74.74972175301424
32 32.72552154375944 52.23788575076992 76.4955351819273
33 38.07932328482827 52.489982815365664 77.87983043707116
34 29.780931851032616 54.04492623381837 78.20169534910806
35 30.466235560601987 48.13741862113515 74.22234374706568
36 25.865790467222528 52.13683068597598 71.43673050345716
37 28.159268249169575 46.78630516095567 70.30406544635676
38 25.069050301498223 52.47410116311894 72.04434036461649
39 30.372083037348933 46.92783500739949 75.29902996475248
40 26.96669444257814 52.54292289225481 71.51079321388163
41 28.4135543222199 55.21723833628445 63.67325893550751
42 26.03190271360134 51.241754352647696 70.84666284301035
43 33.27066025012696 50.71654702710592 80.53372458189466
44 19.09909268498732 52.28714075211841 66.46014557470679
45 19.143174901349116 51.80773392574032 65.09674523987411
46 31.086674012084195 49.69204188465614 65.51758495262997
47 19.12097708874602 52.62547202777715 64.26761757596194
48 21.54156709045297 52.233508093587105 65.84980229770211
49 18.65131356585095 52.961115324510956 66.9218174879963
50 23.70856149013087 52.88542178017594 71.54561052697191
51 28.65692147199385 53.13122710029198 76.86802358178385
52 15.719217726200466 57.049800797676944 63.84042199559586
53 18.57454438380662 55.85334466010573 62.201829589746346
54 25.860042396399173 54.77330917272517 71.80788848725767
55 22.42924187975264 54.687167584042385 69.17555689167132
56 21.630565504061558 54.46129201175029 71.52012183092661
57 32.354403718227005 55.15334192456892 76.72735546732758
58 30.855871851115708 54.95344604841441 75.68798204118978
59 26.440984851918103 54.73641801482401 68.98448618382372
60 23.41817814930938 55.11493645035649 70.34712259116763
61 29.578157292313755 52.2878457533866 71.50801749513802
62 37.69051882428972 51.64036489131415 70.03084770262635
63 34.680854820549015 51.252551753670325 72.88087198396337
64 28.998098184979956 51.343121387629495 69.77555333477422
65 36.236707631748864 49.133284526520136 75.23837172572071
66 32.25644244365587 51.63364327708908 74.6295730747828
67 39.620184628966996 52.265119412584994 79.51685062776872
68 45.529929634342615 47.538630725978564 84.8883899751975
69 45.63225530555074 52.24736942035328 88.44702562067306
70 40.402320856953615 48.33106919743992 80.22855878911855
71 23.925457525278155 54.65952353745139 64.65220670056539
72 28.185013215008567 51.56409200407675 69.32573774328573
73 24.943349355030904 47.25667576398457 65.78414107929883
74 33.20287725295375 48.95420345864187 75.30270837574105
75 48.6037288230677 49.386214480380005 85.3524143195011
76 42.187984188797 49.93859421351733 83.71098541651907
77 33.70121437381136 53.72360712994174 77.54510021264684
78 41.881088813918 53.47661277057057 81.8894875209142
79 38.93040847532374 52.96621986549835 74.39433613834159
80 39.44065176044432 52.946864529196695 86.17351028910628
81 31.82793469398482 52.84904378864789 79.22777467124827
82 36.13651334058087 50.661675884397035 69.03796077781371
83 31.031814384645603 53.23808294099457 72.84295963361909
84 33.974088289985964 48.2861478244482 76.6520291135576
